column_name,source_family,native_geography,field_role,primary_model_use,notes
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_unable_to_determine_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_other_tenure_type_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_other_tenure_type_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_tenure_type_not_stated_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_tenure_type_not_stated_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_other_warehousing_and_storage_services_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_other_warehousing_and_storage_services_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
